,country,year,iso_code,population,gdp,biofuel_cons_change_pct,biofuel_cons_change_twh,biofuel_cons_per_capita,biofuel_consumption,biofuel_elec_per_capita,biofuel_electricity,biofuel_share_elec,biofuel_share_energy,carbon_intensity_elec,coal_cons_change_pct,coal_cons_change_twh,coal_cons_per_capita,coal_consumption,coal_elec_per_capita,coal_electricity,coal_prod_change_pct,coal_prod_change_twh,coal_prod_per_capita,coal_production,coal_share_elec,coal_share_energy,electricity_demand,electricity_generation,electricity_share_energy,energy_cons_change_pct,energy_cons_change_twh,energy_per_capita,energy_per_gdp,fossil_cons_change_pct,fossil_cons_change_twh,fossil_elec_per_capita,fossil_electricity,fossil_energy_per_capita,fossil_fuel_consumption,fossil_share_elec,fossil_share_energy,gas_cons_change_pct,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_electricity,gas_energy_per_capita,gas_prod_change_pct,gas_prod_change_twh,gas_prod_per_capita,gas_production,gas_share_elec,gas_share_energy,greenhouse_gas_emissions,hydro_cons_change_pct,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_electricity,hydro_energy_per_capita,hydro_share_elec,hydro_share_energy,low_carbon_cons_change_pct,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_elec_per_capita,low_carbon_electricity,low_carbon_energy_per_capita,low_carbon_share_elec,low_carbon_share_energy,net_elec_imports,net_elec_imports_share_demand,nuclear_cons_change_pct,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_electricity,nuclear_energy_per_capita,nuclear_share_elec,nuclear_share_energy,oil_cons_change_pct,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_electricity,oil_energy_per_capita,oil_prod_change_pct,oil_prod_change_twh,oil_prod_per_capita,oil_production,oil_share_elec,oil_share_energy,other_renewable_consumption,other_renewable_electricity,other_renewable_exc_biofuel_electricity,other_renewables_cons_change_pct,other_renewables_cons_change_twh,other_renewables_elec_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_energy_per_capita,other_renewables_share_elec,other_renewables_share_elec_exc_biofuel,other_renewables_share_energy,per_capita_electricity,primary_energy_consumption,renewables_cons_change_pct,renewables_cons_change_twh,renewables_consumption,renewables_elec_per_capita,renewables_electricity,renewables_energy_per_capita,renewables_share_elec,renewables_share_energy,solar_cons_change_pct,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_electricity,solar_energy_per_capita,solar_share_elec,solar_share_energy,wind_cons_change_pct,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_electricity,wind_energy_per_capita,wind_share_elec,wind_share_energy,dates
15,Canada,1985,CAN,25843920,727013000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.88,-12.581,12060.498,311.691,3074.031,79.445,6.498,25.203,15984.115,413.092,17.308,10.909,0.0,459.016,16.065,3.294,91.112,110558.883,3.93,1.01,17.821,3599.686,93.03,68964.555,1782.314,20.267,62.378,4.895,26.485,567.6,263.428,6.808,21962.631,8.107,60.377,31153.818,805.137,1.483,19.865,0.0,6.124,51.812,897.875,11749.186,303.645,34742.215,66.151,31.424,7.39,73.291,1074.96,14155.902,365.844,41594.328,79.702,37.622,0.0,0.0,15.918,23.583,171.729,2341.789,60.521,6644.86,13.185,6.01,0.436,3.917,903.023,262.228,6.777,34941.426,2.231,21.743,38559.133,996.519,1.476,31.604,5.353,1.677,0.0,-28.241,-2.107,64.89,0.0,207.141,0.365,0.0,0.187,17761.098,2857.275,5.846,49.708,903.231,11814.112,305.323,34949.469,66.517,31.612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.039,0.001,0.114,0.0,0.0,1985-01-01
16,Canada,1986,CAN,26116076,746075000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.317,-22.807,11061.503,288.883,2742.64,71.627,-7.062,-29.171,14700.588,383.922,15.286,10.014,0.0,468.584,16.243,0.968,27.649,110465.453,3.867,-1.353,-24.112,3242.409,84.679,67322.602,1758.202,18.071,60.944,-3.761,-21.346,546.254,263.669,6.886,20916.387,-6.208,-49.985,28915.197,755.151,1.47,18.935,0.0,2.302,20.669,918.544,11894.398,310.635,35171.605,66.292,31.839,4.899,51.761,1126.722,14694.704,383.768,43142.848,81.9,39.056,0.0,0.0,17.756,30.492,202.221,2728.856,71.267,7743.168,15.209,7.01,2.219,20.042,923.065,236.1,6.166,35344.707,0.059,0.591,38179.93,997.11,1.316,31.996,5.953,1.865,0.0,11.21,0.6,71.412,0.0,227.962,0.398,0.0,0.206,17942.359,2884.924,2.351,21.269,924.501,11965.849,312.501,35399.68,66.69,32.046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.038,0.001,0.113,0.0,0.0,1986-01-01
17,Canada,1987,CAN,26436886,776472000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.478,21.601,11744.365,310.484,3186.381,84.238,0.855,3.283,14646.371,387.204,16.97,10.427,0.0,496.398,16.671,3.213,92.689,112631.016,3.835,3.286,57.781,3799.918,100.458,68691.258,1815.983,20.237,60.988,1.211,6.615,552.869,232.97,6.159,20912.791,8.397,63.414,30962.994,818.565,1.241,18.568,0.0,1.793,16.473,935.018,11960.788,316.206,35367.922,63.7,31.402,3.13,34.908,1161.63,14970.751,395.78,43939.754,79.73,39.012,0.0,0.0,8.411,17.008,219.229,2922.47,77.261,8292.552,15.564,7.363,3.203,29.564,952.629,380.567,10.061,36034.102,5.317,53.014,39721.918,1050.124,2.027,31.993,7.38,2.312,0.0,23.968,1.427,87.454,0.0,279.17,0.466,0.0,0.248,18776.709,2977.613,1.926,17.9,942.401,12048.28,318.519,35647.203,64.166,31.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.038,0.001,0.112,0.0,0.0,1987-01-01
18,Canada,1988,CAN,26815068,814240000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.387,22.934,12434.002,333.419,3421.882,91.758,15.801,61.183,16721.475,448.387,18.133,10.766,0.0,506.016,16.34,4.004,119.233,115489.023,3.803,7.088,128.709,4215.242,113.032,72522.359,1944.692,22.338,62.796,10.058,55.606,608.475,351.743,9.432,22691.535,15.479,126.703,35251.395,945.269,1.864,19.648,0.0,-2.774,-25.936,909.082,11465.01,307.435,33901.906,60.756,29.355,-0.756,-9.476,1152.154,14648.032,392.788,42966.656,77.624,37.204,0.0,0.0,7.256,15.907,235.136,3090.314,82.867,8768.813,16.376,7.593,5.266,50.169,1002.798,441.617,11.842,37396.82,5.317,55.831,41243.77,1105.954,2.34,32.381,7.933,2.485,0.0,7.483,0.552,92.672,0.0,295.827,0.491,0.0,0.256,18870.576,3096.846,-2.699,-25.383,917.018,11557.718,309.921,34197.844,61.247,29.611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.037,0.001,0.11,0.0,0.0,1988-01-01
19,Canada,1989,CAN,27244408,833919000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21,-0.7,12212.353,332.718,3367.186,91.737,6.456,28.946,17520.414,477.333,18.418,10.639,0.0,498.093,15.927,0.986,30.546,114790.242,3.75,4.509,87.678,4578.774,124.746,74597.703,2032.37,25.045,64.986,8.103,49.306,657.781,544.515,14.835,24143.713,6.242,59.001,36861.484,1004.269,2.978,21.033,0.0,-5.525,-50.225,858.857,10660.895,290.45,31524.148,58.312,27.462,-4.976,-57.132,1095.022,13699.859,373.245,40192.531,74.935,35.014,0.0,0.0,-4.284,-10.074,225.063,2911.307,79.317,8260.877,15.924,7.196,3.896,39.073,1041.871,667.073,18.174,38241.641,-2.602,-28.778,39537.52,1077.176,3.649,33.314,11.099,3.477,0.0,39.92,3.167,127.623,0.0,407.397,0.698,0.0,0.355,18282.379,3127.392,-5.16,-47.059,869.959,10788.554,293.928,31931.652,59.011,27.817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.037,0.001,0.109,0.0,0.0,1989-01-01
20,Canada,1990,CAN,27657206,835997000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.144,-17.115,11411.241,315.603,2972.824,82.22,-2.636,-12.583,16803.949,464.75,17.108,10.49,0.0,480.593,15.974,-3.799,-118.81,108781.125,3.599,-5.725,-116.355,3917.315,108.342,69277.266,1916.016,22.543,63.685,-3.067,-20.177,637.604,349.059,9.654,23053.826,3.008,30.209,37403.559,1034.478,2.009,21.193,0.0,1.802,15.476,874.332,10691.005,295.683,31613.184,61.525,29.061,-0.307,-2.455,1092.566,13453.971,372.099,39503.855,77.425,36.315,0.0,0.0,-8.645,-19.456,205.606,2619.932,72.46,7434.097,15.077,6.834,-7.589,-79.063,962.808,595.433,16.468,34812.195,0.148,1.598,39005.164,1078.774,3.427,32.002,12.622,3.954,0.0,13.719,1.523,142.965,0.0,456.372,0.823,0.0,0.42,17376.781,3008.582,1.943,17.001,886.96,10834.039,299.639,32069.76,62.348,29.481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.919,0.003,0.006,0.069,0.002,0.205,0.0,0.0,1990-01-01
21,Canada,1991,CAN,28015762,820551000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.202,-10.107,10904.438,305.496,3158.401,88.485,4.475,20.799,17331.273,485.549,17.453,10.113,0.0,506.995,16.783,0.407,12.246,107826.0,3.681,-2.914,-55.836,3970.693,111.242,66397.602,1860.179,21.941,61.578,0.691,4.406,642.011,307.755,8.622,22916.053,5.25,54.308,38863.32,1088.786,1.701,21.253,0.0,3.921,34.279,908.612,10967.969,307.276,32432.164,60.607,30.078,6.316,68.082,1160.648,14120.654,395.601,41428.398,78.029,38.422,0.0,0.0,16.394,33.707,239.313,3010.411,84.339,8542.085,16.635,7.922,-5.207,-50.135,912.673,504.537,14.135,32577.115,0.492,5.311,38695.527,1084.085,2.788,30.213,12.718,3.984,0.0,0.759,0.096,142.206,0.0,453.949,0.786,0.0,0.421,18096.773,3020.828,3.879,34.375,921.335,11110.243,311.262,32886.316,61.394,30.499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.069,0.002,0.203,0.0,0.0,1991-01-01
22,Canada,1992,CAN,28347644,830133000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.87,5.713,10978.308,311.209,3175.925,90.03,-11.124,-54.013,15222.998,431.536,17.359,10.033,0.0,518.627,16.721,2.678,80.898,109417.391,3.736,3.66,68.08,4188.92,118.746,68021.859,1928.26,22.896,62.167,6.003,38.543,680.554,462.896,13.122,24007.414,10.182,110.861,42319.105,1199.647,2.53,21.941,0.0,2.571,23.356,931.968,11118.195,315.175,32876.387,60.771,30.047,1.042,12.817,1173.466,14100.74,399.723,41395.523,77.073,37.833,0.0,0.0,-5.118,-12.249,227.064,2822.884,80.022,8009.975,15.43,7.321,2.61,23.824,936.497,550.099,15.594,33036.141,4.232,45.883,39861.094,1129.968,3.007,30.193,14.253,4.465,0.0,12.073,1.535,157.509,0.0,502.8,0.861,0.0,0.46,18295.236,3101.725,2.711,25.067,946.402,11277.857,319.701,33385.551,61.644,30.512,0.0,0.006,0.006,0.072,0.002,0.214,0.0,0.0,2974.21,0.169,0.174,2.081,0.059,6.154,0.011,0.006,1992-01-01
23,Canada,1993,CAN,28668168,854596000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.214,-34.899,9638.206,276.31,2873.71,82.384,6.294,27.162,16000.257,458.698,15.537,8.689,0.0,530.232,16.674,2.524,78.281,110924.656,3.721,0.97,18.711,3826.23,109.691,67914.031,1946.971,20.687,61.225,6.102,41.528,722.082,533.658,15.299,25187.576,10.086,120.993,46066.434,1320.64,2.885,22.707,0.0,2.233,20.815,952.783,11239.432,322.214,33234.875,60.768,29.962,5.167,59.57,1233.036,14663.516,420.376,43010.617,79.282,38.775,0.0,0.0,16.573,37.631,264.695,3253.93,93.284,9233.075,17.593,8.324,1.29,12.083,948.579,418.862,12.008,33088.25,5.271,59.562,41493.047,1189.53,2.265,29.829,15.377,4.817,0.0,7.884,1.124,168.026,0.0,536.374,0.908,0.0,0.484,18495.502,3180.007,2.312,21.939,968.34,11409.586,327.092,33777.543,61.688,30.451,0.0,0.0,0.006,0.072,0.002,0.212,0.0,0.0,0.0,0.0,0.174,2.058,0.059,6.086,0.011,0.005,1993-01-01
24,Canada,1994,CAN,28981190,895510000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.029,16.659,10108.942,292.969,2989.905,86.651,5.084,23.321,16632.137,482.019,15.668,8.875,0.0,553.055,16.753,3.81,121.149,113906.836,3.686,3.204,62.385,3869.959,112.156,69333.102,2009.356,20.279,60.868,3.524,25.447,747.529,532.656,15.437,25793.58,8.241,108.831,49324.094,1429.471,2.791,22.644,0.0,1.751,16.682,969.465,11312.703,327.856,33451.539,59.281,29.367,4.843,58.764,1291.8,15207.582,440.734,44573.73,79.691,39.132,0.0,0.0,14.794,39.158,303.853,3694.956,107.084,10484.492,19.362,9.204,2.138,20.279,968.858,347.398,10.068,33430.578,4.313,51.3,42815.004,1240.83,1.82,29.349,18.301,5.733,0.0,19.016,2.924,197.818,0.0,631.475,1.037,0.0,0.554,19083.236,3301.156,2.005,19.606,987.947,11512.627,333.65,34089.242,60.328,29.927,0.0,0.0,0.006,0.071,0.002,0.209,0.0,0.0,0.0,0.0,0.174,2.036,0.059,6.02,0.011,0.005,1994-01-01
