country,year,iso_code,population,gdp,biofuel_cons_change_pct,biofuel_cons_change_twh,biofuel_cons_per_capita,biofuel_consumption,biofuel_elec_per_capita,biofuel_electricity,biofuel_share_elec,biofuel_share_energy,carbon_intensity_elec,coal_cons_change_pct,coal_cons_change_twh,coal_cons_per_capita,coal_consumption,coal_elec_per_capita,coal_electricity,coal_prod_change_pct,coal_prod_change_twh,coal_prod_per_capita,coal_production,coal_share_elec,coal_share_energy,electricity_demand,electricity_generation,electricity_share_energy,energy_cons_change_pct,energy_cons_change_twh,energy_per_capita,energy_per_gdp,fossil_cons_change_pct,fossil_cons_change_twh,fossil_elec_per_capita,fossil_electricity,fossil_energy_per_capita,fossil_fuel_consumption,fossil_share_elec,fossil_share_energy,gas_cons_change_pct,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_electricity,gas_energy_per_capita,gas_prod_change_pct,gas_prod_change_twh,gas_prod_per_capita,gas_production,gas_share_elec,gas_share_energy,greenhouse_gas_emissions,hydro_cons_change_pct,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_electricity,hydro_energy_per_capita,hydro_share_elec,hydro_share_energy,low_carbon_cons_change_pct,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_elec_per_capita,low_carbon_electricity,low_carbon_energy_per_capita,low_carbon_share_elec,low_carbon_share_energy,net_elec_imports,net_elec_imports_share_demand,nuclear_cons_change_pct,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_electricity,nuclear_energy_per_capita,nuclear_share_elec,nuclear_share_energy,oil_cons_change_pct,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_electricity,oil_energy_per_capita,oil_prod_change_pct,oil_prod_change_twh,oil_prod_per_capita,oil_production,oil_share_elec,oil_share_energy,other_renewable_consumption,other_renewable_electricity,other_renewable_exc_biofuel_electricity,other_renewables_cons_change_pct,other_renewables_cons_change_twh,other_renewables_elec_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_energy_per_capita,other_renewables_share_elec,other_renewables_share_elec_exc_biofuel,other_renewables_share_energy,per_capita_electricity,primary_energy_consumption,renewables_cons_change_pct,renewables_cons_change_twh,renewables_consumption,renewables_elec_per_capita,renewables_electricity,renewables_energy_per_capita,renewables_share_elec,renewables_share_energy,solar_cons_change_pct,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_electricity,solar_energy_per_capita,solar_share_elec,solar_share_energy,wind_cons_change_pct,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_electricity,wind_energy_per_capita,wind_share_elec,wind_share_energy
Australia,1970,AUS,12595038,2.42645E+11,0,0,0,0,0,0,0,0,0,1.054,2.417,18395.691,231.694,0,0,5.869,19.971,28601.502,360.237,0,40.641,0,0,0,9.125,47.673,45263.98,2.35,8.741,43.341,0,0,42810.016,539.194,0,94.579,319.338,13.177,17.304,0,0,1373.872,467.828,14.257,1373.872,17.304,0,3.035,0,17.118,4.396,30.075,807.515,10.171,2387.814,0,5.275,16.359,4.332,30.908,0,0,2453.965,0,5.421,0,0,0,0,0,0,0,0,0,0,10.572,27.747,290.195,0,0,23040.455,291.111,75.351,8037.656,101.235,0,50.902,0.833,0.261,0,-7.117,-0.064,20.722,0,66.15,0,0,0.146,0,570.102,16.359,4.332,30.908,0,0,2453.965,0,5.421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,1971,AUS,12993837,2.5344E+11,0,0,0,0,0,0,0,0,0,0.378,0.875,17898.441,232.569,0,0,-6.074,-21.879,26039.848,338.358,0,38.839,0,0,0,5.035,28.706,46083.969,2.363,4.59,24.747,0,0,43400.629,563.941,0,94.177,49.253,8.523,25.827,0,0,1987.61,49.253,8.523,1987.61,25.827,0,4.313,0,13.143,3.953,34.027,885.608,11.507,2618.733,0,5.683,12.834,3.959,34.867,0,0,2683.344,0,5.823,0,0,0,0,0,0,0,0,0,0,5.289,15.349,305.545,0,0,23514.574,75.257,76.186,13654.192,177.42,0,51.025,0.84,0.263,0,0.766,0.006,20.24,0,64.611,0,0,0.14,0,598.808,12.834,3.959,34.867,0,0,2683.344,0,5.823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,1972,AUS,13300319,2.60536E+11,0,0,0,0,0,0,0,0,0,4.455,10.361,18265.016,242.931,0,0,21.236,71.853,30842.145,410.21,0,38.801,0,0,0,4.557,27.287,47073.68,2.403,4.805,27.097,0,0,44437.891,591.038,0,94.401,43.55,11.248,37.074,0,0,2787.471,43.55,11.248,2787.471,37.074,0,5.922,0,0.399,0.136,34.163,868.649,11.553,2568.587,0,5.457,0.534,0.19,35.057,0,0,2635.79,0,5.599,0,0,0,0,0,0,0,0,0,0,1.796,5.489,311.033,0,0,23385.406,6.716,11.916,14235.483,189.336,0,49.678,0.894,0.28,0,6.464,0.054,21.052,0,67.203,0,0,0.143,0,626.095,0.534,0.19,35.057,0,0,2635.79,0,5.599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,1973,AUS,13513318,2.74659E+11,0,0,0,0,0,0,0,0,0,4.139,10.056,18721.242,252.986,0,0,2.051,8.413,30978.58,418.623,0,37.795,0,0,0,6.91,43.261,49533.055,2.437,6.922,40.91,0,0,46764.816,631.948,0,94.411,26.958,9.995,47.069,0,0,3483.141,26.958,9.995,3483.141,47.069,0,7.032,0,6.34,2.166,36.329,909.165,12.286,2688.392,0,5.427,6.681,2.351,37.408,0,0,2768.236,0,5.589,0,0,0,0,0,0,0,0,0,0,6.707,20.86,331.893,0,0,24560.434,25.273,47.851,17552.109,237.187,0,49.584,1.079,0.338,0,20.714,0.185,25.012,0,79.845,0,0,0.161,0,669.356,6.681,2.351,37.408,0,0,2768.236,0,5.589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,1974,AUS,13713392,2.81474E+11,0,0,0,0,0,0,0,0,0,4.381,11.083,19256.316,264.069,0,0,5.364,22.454,32164.012,441.078,0,37.094,0,0,0,6.356,42.545,51912.836,2.529,5.943,37.559,0,0,48821.367,669.507,0,94.045,14.093,6.633,53.702,0,0,3916.025,14.093,6.633,3916.025,53.702,0,7.543,0,12.926,4.696,41.025,1011.706,13.874,2991.604,0,5.763,13.301,4.986,42.394,0,0,3091.466,0,5.955,0,0,0,0,0,0,0,0,0,0,5.978,19.842,351.735,0,0,25649.025,-1.058,-2.51,17112.994,234.677,0,49.408,1.369,0.429,0,26.923,0.29,31.283,0,99.863,0,0,0.192,0,711.901,13.301,4.986,42.394,0,0,3091.466,0,5.955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,1975,AUS,13886865,2.89103E+11,0,0,0,0,0,0,0,0,0,3.208,8.472,19625.859,272.542,0,0,4.753,20.962,33271.742,462.04,0,37.649,0,0,0,1.686,11.999,52128.41,2.504,1.316,8.81,0,0,48845.879,678.316,0,93.703,7.389,3.968,57.67,0,0,4152.843,7.389,3.968,4152.843,57.67,0,7.967,0,7.308,2.998,44.023,1072.078,14.888,3170.123,0,6.081,7.508,3.19,45.584,0,0,3282.531,0,6.297,0,0,0,0,0,0,0,0,0,0,-1.032,-3.631,348.104,0,0,25067.176,7.152,16.785,18107.904,251.462,0,48.087,1.561,0.489,0,13.986,0.192,35.213,0,112.408,0,0,0.216,0,723.9,7.508,3.19,45.584,0,0,3282.531,0,6.297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,1976,AUS,14038078,3.00756E+11,0,0,0,0,0,0,0,0,0,3.394,9.25,20073.379,281.792,0,0,11.371,52.538,36655.906,514.578,0,37.618,0,0,0,3.479,25.188,53361.164,2.491,4.036,27.374,0,0,50269.727,705.69,0,94.207,18.046,10.407,68.077,0,0,4849.468,18.046,10.407,4849.468,68.077,0,9.088,0,-4.93,-2.17,41.853,1008.248,14.154,2981.377,0,5.587,-4.806,-2.186,43.398,0,0,3091.437,0,5.793,0,0,0,0,0,0,0,0,0,0,2.217,7.717,355.821,0,0,25346.879,2.401,6.037,18342.896,257.499,0,47.501,1.545,0.484,0,-1.022,-0.016,34.478,0,110.06,0,0,0.206,0,749.088,-4.806,-2.186,43.398,0,0,3091.437,0,5.793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,1977,AUS,14193365,3.03888E+11,0,0,0,0,0,0,0,0,0,4.396,12.389,20726.625,294.181,0,0,6.123,31.508,38474.809,546.087,0,37.429,0,0,0,4.923,36.88,55375.77,2.586,5.507,38.859,0,0,52457.586,744.55,0,94.73,14.236,9.691,77.768,0,0,5479.211,14.236,9.691,5479.211,77.768,0,9.895,0,-4.309,-1.803,40.049,954.245,13.544,2821.693,0,5.096,-4.542,-1.979,41.419,0,0,2918.178,0,5.27,0,0,0,0,0,0,0,0,0,0,4.716,16.779,372.601,0,0,26251.754,5.798,14.931,19194.172,272.43,0,47.407,1.369,0.429,0,-11.364,-0.176,30.225,0,96.486,0,0,0.174,0,785.969,-4.542,-1.979,41.419,0,0,2918.178,0,5.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,1978,AUS,14355814,3.12728E+11,0,0,0,0,0,0,0,0,0,2.611,7.681,21027.096,301.861,0,0,0.557,3.044,38251.465,549.131,0,37.211,0,0,0,3.213,25.252,56508.172,2.594,2.953,21.983,0,0,53395.305,766.533,0,94.491,7.66,5.957,83.725,0,0,5832.158,7.66,5.957,5832.158,83.725,0,10.321,0,8.354,3.346,43.395,1022.258,14.675,3022.807,0,5.349,7.925,3.269,44.688,0,0,3112.864,0,5.509,0,0,0,0,0,0,0,0,0,0,2.24,8.346,380.947,0,0,26536.057,-0.999,-2.72,18787.484,269.71,0,46.96,1.293,0.405,0,-5.594,-0.077,28.212,0,90.057,0,0,0.159,0,811.221,7.925,3.269,44.688,0,0,3112.864,0,5.509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,1979,AUS,14520529,3.29194E+11,0,0,0,0,0,0,0,0,0,4.532,13.681,21730.727,315.542,0,0,4.597,25.245,39556.16,574.376,0,37.507,0,0,0,3.707,30.071,57938.066,2.556,4.083,31.299,0,0,54945.078,797.832,0,94.834,15.109,12.65,96.375,0,0,6637.167,15.109,12.65,6637.167,96.375,0,11.456,0,-2.925,-1.269,42.125,981.098,14.246,2901.095,0,5.007,-2.76,-1.228,43.46,0,0,2992.988,0,5.166,0,0,0,0,0,0,0,0,0,0,1.304,4.968,385.915,0,0,26577.186,0.368,0.994,18642.801,270.703,0,45.872,1.334,0.418,0,3.21,0.041,28.787,0,91.893,0,0,0.159,0,841.291,-2.76,-1.228,43.46,0,0,2992.988,0,5.166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
