country,year,iso_code,population,gdp,biofuel_cons_change_pct,biofuel_cons_change_twh,biofuel_cons_per_capita,biofuel_consumption,biofuel_elec_per_capita,biofuel_electricity,biofuel_share_elec,biofuel_share_energy,carbon_intensity_elec,coal_cons_change_pct,coal_cons_change_twh,coal_cons_per_capita,coal_consumption,coal_elec_per_capita,coal_electricity,coal_prod_change_pct,coal_prod_change_twh,coal_prod_per_capita,coal_production,coal_share_elec,coal_share_energy,electricity_demand,electricity_generation,electricity_share_energy,energy_cons_change_pct,energy_cons_change_twh,energy_per_capita,energy_per_gdp,fossil_cons_change_pct,fossil_cons_change_twh,fossil_elec_per_capita,fossil_electricity,fossil_energy_per_capita,fossil_fuel_consumption,fossil_share_elec,fossil_share_energy,gas_cons_change_pct,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_electricity,gas_energy_per_capita,gas_prod_change_pct,gas_prod_change_twh,gas_prod_per_capita,gas_production,gas_share_elec,gas_share_energy,greenhouse_gas_emissions,hydro_cons_change_pct,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_electricity,hydro_energy_per_capita,hydro_share_elec,hydro_share_energy,low_carbon_cons_change_pct,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_elec_per_capita,low_carbon_electricity,low_carbon_energy_per_capita,low_carbon_share_elec,low_carbon_share_energy,net_elec_imports,net_elec_imports_share_demand,nuclear_cons_change_pct,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_electricity,nuclear_energy_per_capita,nuclear_share_elec,nuclear_share_energy,oil_cons_change_pct,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_electricity,oil_energy_per_capita,oil_prod_change_pct,oil_prod_change_twh,oil_prod_per_capita,oil_production,oil_share_elec,oil_share_energy,other_renewable_consumption,other_renewable_electricity,other_renewable_exc_biofuel_electricity,other_renewables_cons_change_pct,other_renewables_cons_change_twh,other_renewables_elec_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_energy_per_capita,other_renewables_share_elec,other_renewables_share_elec_exc_biofuel,other_renewables_share_energy,per_capita_electricity,primary_energy_consumption,renewables_cons_change_pct,renewables_cons_change_twh,renewables_consumption,renewables_elec_per_capita,renewables_electricity,renewables_energy_per_capita,renewables_share_elec,renewables_share_energy,solar_cons_change_pct,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_electricity,solar_energy_per_capita,solar_share_elec,solar_share_energy,wind_cons_change_pct,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_electricity,wind_energy_per_capita,wind_share_elec,wind_share_energy
United Kingdom,1970,GBR,55650160,9.54756E+11,0,0,0,0,0,0,0,0,0,-5.683,-67.291,20067.49,1116.759,0,0,-3.831,-40.128,18098.666,1007.194,0,43.777,0,0,0,2.094,52.313,45840.711,2.672,2.384,57.361,0,0,44273.379,2463.821,0,96.581,90.556,56.208,118.277,0,0,2125.368,93.558,52.926,1967.585,109.496,0,4.636,0,39.312,3.785,13.413,81.509,4.536,241.022,0,0.526,-5.661,-5.048,87.222,548.929,30.548,1567.333,0,3.419,0,0,-10.688,-8.833,73.809,467.42,26.012,1326.311,0,2.893,5.899,68.444,1228.784,0,0,22080.52,83.529,0.826,32.602,1.814,0,48.168,0,0,0,0,0,0,0,0,0,0,0,0,2551.043,39.312,3.785,13.413,81.509,4.536,241.022,0,0.526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,1971,GBR,55875904,9.75018E+11,0,0,0,0,0,0,0,0,0,-11.376,-127.046,17712.697,989.713,0,0,-0.031,-0.308,18020.031,1006.886,0,39.528,0,0,0,-1.85,-47.193,44810.902,2.568,-1.953,-48.113,0,0,43233.445,2415.708,0,96.48,61.239,72.432,190.709,0,0,3413.076,66.182,72.467,3256.555,181.963,0,7.617,0,-25.639,-3.439,9.974,60.366,3.373,178.501,0,0.398,1.221,0.919,88.142,553.387,30.921,1577.456,0,3.52,0,0,5.905,4.358,78.168,493.021,27.548,1398.955,0,3.122,0.529,6.502,1235.286,0,0,22107.672,35.897,0.651,44.126,2.466,0,49.335,0,0,0,0,0,0,0,0,0,0,0,0,2503.85,-25.639,-3.439,9.974,60.366,3.373,178.501,0,0.398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,1972,GBR,56057324,1.00953E+12,0,0,0,0,0,0,0,0,0,-12.407,-122.79,15464.945,866.923,0,0,-17.159,-172.767,14879.75,834.119,0,34.121,0,0,0,1.472,36.849,45323.223,2.517,1.31,31.656,0,0,43658.238,2447.364,0,96.326,41.908,79.921,270.63,0,0,4827.738,44.292,80.596,4683.757,262.559,0,10.652,0,0,0,9.974,60.171,3.373,177.924,0,0.393,5.918,5.193,93.334,584.241,32.751,1664.982,0,3.674,0,0,6.643,5.193,83.361,524.071,29.378,1487.058,0,3.281,6.033,74.524,1309.81,0,0,23365.555,57.075,1.407,69.086,3.873,0,51.553,0,0,0,0,0,0,0,0,0,0,0,0,2540.698,0,0,9.974,60.171,3.373,177.924,0,0.393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,1973,GBR,56166632,1.07743E+12,0,0,0,0,0,0,0,0,0,8.312,72.059,16717.807,938.983,0,0,8.332,69.5,16088.175,903.619,0,35.206,0,0,0,4.974,126.385,47485.191,2.475,5.268,128.928,0,0,45868.738,2576.292,0,96.596,8.195,22.178,292.809,0,0,5213.211,8.575,22.516,5075.514,285.075,0,10.979,0,13.786,1.375,11.349,68.332,3.838,202.058,0,0.426,-2.797,-2.544,90.791,566.796,31.835,1616.455,0,3.404,0,0,-4.701,-3.919,79.442,498.463,27.997,1414.397,0,2.979,2.649,34.69,1344.501,0,0,23937.715,11.712,0.454,77.027,4.326,0,50.411,0,0,0,0,0,0,0,0,0,0,0,0,2667.083,13.786,1.375,11.349,68.332,3.838,202.058,0,0.426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,1974,GBR,56233776,1.0628E+12,0,0,0,0,0,0,0,0,0,-11.962,-112.323,14700.425,826.66,0,0,-16.317,-147.441,13447.034,756.177,0,32.633,0,0,0,-5.021,-133.904,45047.285,2.383,-5.843,-150.54,0,0,43136.934,2425.753,0,95.759,19.609,57.417,350.226,0,0,6228.033,20.602,58.732,6113.871,343.806,0,13.826,0,6.071,0.689,12.038,72.394,4.071,214.069,0,0.475,18.385,16.636,107.427,670.202,37.688,1910.358,0,4.241,0,0,20.074,15.947,95.389,597.808,33.617,1696.289,0,3.766,-7.113,-95.635,1248.866,0,0,22208.475,10.215,0.442,84.794,4.768,0,49.3,0,0,0,0,0,0,0,0,0,0,0,0,2533.179,6.071,0.689,12.038,72.394,4.071,214.069,0,0.475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,1975,GBR,56266852,1.06156E+12,0,0,0,0,0,0,0,0,0,0.598,4.943,14779.628,831.603,0,0,16.506,124.813,15657.365,880.991,0,34.821,0,0,0,-5.721,-144.93,42445.047,2.25,-5.563,-134.937,0,0,40713.414,2290.816,0,95.92,4.782,16.747,366.973,0,0,6522.01,4.13,14.2,6362.65,358.006,0,15.366,0,-5.723,-0.689,11.349,68.211,3.838,201.698,0,0.475,-9.319,-9.993,97.433,607.391,34.176,1731.631,0,4.08,0,0,-9.754,-9.304,86.085,539.181,30.338,1529.933,0,3.605,-12.542,-156.627,1092.24,0,0,19411.775,282.439,13.468,324.096,18.236,0,45.734,0,0,0,0,0,0,0,0,0,0,0,0,2388.249,-5.723,-0.689,11.349,68.211,3.838,201.698,0,0.475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,1976,GBR,56263232,1.08539E+12,0,0,0,0,0,0,0,0,0,1.764,14.665,15041.236,846.269,0,0,-3.794,-33.425,15064.291,847.566,0,34.721,0,0,0,2.056,49.109,43320.625,2.246,1.333,30.539,0,0,41258.828,2321.355,0,95.241,6.069,22.271,389.244,0,0,6918.274,5.899,21.12,6738.439,379.126,0,15.97,0,18.187,2.064,13.413,80.621,4.536,238.396,0,0.55,19.063,18.57,116.003,723.225,40.691,2061.795,0,4.759,0,0,19.174,16.506,102.59,642.604,36.155,1823.4,0,4.209,-0.586,-6.397,1085.842,0,0,19299.318,676.084,123.29,2515.417,141.525,0,44.55,0,0,0,0,0,0,0,0,0,0,0,0,2437.358,18.187,2.064,13.413,80.621,4.536,238.396,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,1977,GBR,56244844,1.10897E+12,0,0,0,0,0,0,0,0,0,0.328,2.78,15095.573,849.048,0,0,-1.328,-11.256,14869.094,836.31,0,34.195,0,0,0,1.87,45.59,44145.352,2.239,1.566,36.341,0,0,41918.441,2357.696,0,94.956,6.286,24.47,413.714,0,0,7355.589,4.485,17.003,7042.946,396.129,0,16.662,0,-12.831,-1.721,11.692,70.3,3.954,207.876,0,0.471,8.071,9.249,125.252,781.849,43.975,2226.908,0,5.044,0,0,10.693,10.97,113.56,711.55,40.021,2019.033,0,4.574,0.837,9.092,1094.934,0,0,19467.283,214.447,303.496,7912.227,445.022,0,44.098,0,0,0,0,0,0,0,0,0,0,0,0,2482.948,-12.831,-1.721,11.692,70.3,3.954,207.876,0,0.471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,1978,GBR,56240768,1.1485E+12,0,0,0,0,0,0,0,0,0,-2.581,-21.911,14707.075,827.137,0,0,1.168,9.77,15043.891,846.08,0,33.123,0,0,0,0.574,14.244,44401.824,2.174,0.926,21.835,0,0,42309.723,2379.531,0,95.288,3.728,15.421,429.135,0,0,7630.325,-4.239,-16.794,6744.853,379.336,0,17.185,0,2.959,0.346,12.038,72.385,4.071,214.042,0,0.482,-6.094,-7.591,117.662,734.254,41.295,2092.104,0,4.712,0,0,-6.989,-7.937,105.624,661.869,37.224,1878.062,0,4.23,2.587,28.324,1123.259,0,0,19972.32,41.137,183.068,11167.873,628.09,0,44.981,0,0,0,0,0,0,0,0,0,0,0,0,2497.193,2.959,0.346,12.038,72.385,4.071,214.042,0,0.482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Kingdom,1979,GBR,56265152,1.18011E+12,0,0,0,0,0,0,0,0,0,7.493,61.976,15802.205,889.113,0,0,-0.978,-8.271,14890.376,837.809,0,34.013,0,0,0,4.679,116.846,46459.285,2.215,4.752,113.084,0,0,44301.227,2492.615,0,95.355,9.561,41.031,470.166,0,0,8356.256,0.978,3.71,6807.867,383.046,0,17.986,0,5.699,0.686,12.724,76.477,4.303,226.142,0,0.487,3.187,3.762,121.423,757.325,42.611,2158.058,0,4.645,0,0,2.912,3.076,108.7,680.848,38.308,1931.916,0,4.158,0.897,10.077,1133.336,0,0,20142.766,44.158,277.352,16092.411,905.442,0,43.356,0,0,0,0,0,0,0,0,0,0,0,0,2614.039,5.699,0.686,12.724,76.477,4.303,226.142,0,0.487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
