country,year,iso_code,population,gdp,biofuel_cons_change_pct,biofuel_cons_change_twh,biofuel_cons_per_capita,biofuel_consumption,biofuel_elec_per_capita,biofuel_electricity,biofuel_share_elec,biofuel_share_energy,carbon_intensity_elec,coal_cons_change_pct,coal_cons_change_twh,coal_cons_per_capita,coal_consumption,coal_elec_per_capita,coal_electricity,coal_prod_change_pct,coal_prod_change_twh,coal_prod_per_capita,coal_production,coal_share_elec,coal_share_energy,electricity_demand,electricity_generation,electricity_share_energy,energy_cons_change_pct,energy_cons_change_twh,energy_per_capita,energy_per_gdp,fossil_cons_change_pct,fossil_cons_change_twh,fossil_elec_per_capita,fossil_electricity,fossil_energy_per_capita,fossil_fuel_consumption,fossil_share_elec,fossil_share_energy,gas_cons_change_pct,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_electricity,gas_energy_per_capita,gas_prod_change_pct,gas_prod_change_twh,gas_prod_per_capita,gas_production,gas_share_elec,gas_share_energy,greenhouse_gas_emissions,hydro_cons_change_pct,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_electricity,hydro_energy_per_capita,hydro_share_elec,hydro_share_energy,low_carbon_cons_change_pct,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_elec_per_capita,low_carbon_electricity,low_carbon_energy_per_capita,low_carbon_share_elec,low_carbon_share_energy,net_elec_imports,net_elec_imports_share_demand,nuclear_cons_change_pct,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_electricity,nuclear_energy_per_capita,nuclear_share_elec,nuclear_share_energy,oil_cons_change_pct,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_electricity,oil_energy_per_capita,oil_prod_change_pct,oil_prod_change_twh,oil_prod_per_capita,oil_production,oil_share_elec,oil_share_energy,other_renewable_consumption,other_renewable_electricity,other_renewable_exc_biofuel_electricity,other_renewables_cons_change_pct,other_renewables_cons_change_twh,other_renewables_elec_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_energy_per_capita,other_renewables_share_elec,other_renewables_share_elec_exc_biofuel,other_renewables_share_energy,per_capita_electricity,primary_energy_consumption,renewables_cons_change_pct,renewables_cons_change_twh,renewables_consumption,renewables_elec_per_capita,renewables_electricity,renewables_energy_per_capita,renewables_share_elec,renewables_share_energy,solar_cons_change_pct,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_electricity,solar_energy_per_capita,solar_share_elec,solar_share_energy,wind_cons_change_pct,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_electricity,wind_energy_per_capita,wind_share_elec,wind_share_energy
United States,1970,USA,200328336,4.91264E+12,0,0,0,0,0,0,0,0,0,-0.945,-32.578,17045.314,3414.659,0,0,7.415,290.06,20974.65,4201.817,0,18.756,0,0,0,3.54,622.418,90880,3.706,3.623,606.326,0,0,86555.445,17339.508,0,95.241,5.401,294.551,5748.658,0,0,28696.182,-10.025,-636.705,28526.285,5714.623,0,31.576,0,-0.991,-7.499,749.574,1265.384,253.492,3741.728,0,4.117,2.009,16.089,866.33,114.572,22.952,4324.55,0,4.759,0,0,56.553,23.526,65.127,114.572,22.952,325.1,0,0.358,4.397,344.354,8176.191,0,0,40813.953,4.329,257.467,30971.592,6204.487,0,44.91,51.629,16.236,0,0.054,0.062,81.046,0,257.722,0,0,0.284,0,18205.84,-0.928,-7.437,801.203,0,0,3999.45,0,4.401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States,1971,USA,202907920,5.06568E+12,0,0,0,0,0,0,0,0,0,-5.431,-185.459,15914.611,3229.201,0,0,-9.306,-391.035,18780.846,3810.782,0,17.372,0,0,0,2.105,383.168,91613.023,3.67,1.603,277.902,0,0,86824.656,17617.41,0,94.773,3.094,177.868,5926.526,0,0,29207.959,2.835,161.982,28961.932,5876.605,0,31.882,0,7.401,55.478,805.052,1341.761,272.254,3967.574,0,4.331,12.392,105.268,971.598,197.676,40.11,4788.369,0,5.227,0,0,74.756,48.686,113.813,197.676,40.11,560.909,0,0.612,3.492,285.492,8461.684,0,0,41702.086,-1.425,-88.411,30142.127,6116.076,0,45.52,52.733,16.584,0,2.147,1.104,81.734,0,259.886,0,0,0.284,0,18589.008,7.085,56.582,857.785,0,0,4227.46,0,4.614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States,1972,USA,205238384,5.3343E+12,0,0,0,0,0,0,0,0,0,4.126,133.224,16383.022,3362.425,0,0,7.509,286.166,19961.898,4096.948,0,17.231,0,0,0,4.976,925.074,95080.078,3.658,4.836,851.891,0,0,89989.508,18469.301,0,94.646,1.02,60.438,5986.964,0,0,29170.783,-0.324,-19.055,28540.229,5857.55,0,30.68,0,2.374,19.108,824.16,1358.011,278.716,4015.624,0,4.223,7.715,73.181,1044.779,277.424,56.938,5090.563,0,5.354,0,0,41.955,47.75,161.563,277.424,56.938,787.195,0,0.828,7.779,658.229,9119.912,0,0,44435.703,0.38,23.26,29913.195,6139.336,0,46.735,59.056,18.673,0,12.594,6.323,90.982,0,287.745,0,0,0.303,0,19514.082,2.96,25.431,883.217,0,0,4303.369,0,4.526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States,1973,USA,207314768,5.6372E+12,0,0,0,0,0,0,0,0,0,7.407,249.065,17420.32,3611.49,0,0,-0.525,-21.522,19658.154,4075.426,0,17.756,0,0,0,4.231,825.713,98110.688,3.608,3.982,735.402,0,0,92635.477,19204.703,0,94.419,-0.819,-49.005,5937.959,0,0,28642.238,-0.091,-5.328,28228.682,5852.223,0,29.194,0,-0.181,-1.488,822.672,1341.982,278.213,3968.226,0,4.045,8.96,90.311,1135.09,423.863,87.873,5475.203,0,5.581,0,0,54.331,87.779,249.341,423.863,87.873,1202.718,0,1.226,5.87,535.343,9655.255,0,0,46572.922,-2.507,-153.93,28871.104,5985.406,0,47.47,63.077,19.99,0,7.051,4.021,96.422,0,304.258,0,0,0.31,0,20339.795,0.274,2.533,885.749,0,0,4272.485,0,4.355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States,1974,USA,209277968,5.62137E+12,0,0,0,0,0,0,0,0,0,-2.379,-85.923,16846.336,3525.567,0,0,1.884,76.797,19840.703,4152.222,0,17.768,0,0,0,-2.444,-497.188,94814.602,3.53,-3.517,-675.383,0,0,88539.281,18529.32,0,93.381,-3.464,-205.712,5732.247,0,0,27390.59,-4.404,-257.751,26732.254,5594.472,0,28.889,0,10.45,85.965,908.637,1468.309,307.285,4341.772,0,4.579,15.952,178.195,1313.286,573.278,119.974,6275.317,0,6.619,0,0,36.531,91.088,340.429,573.278,119.974,1626.685,0,1.716,-3.974,-383.748,9271.507,0,0,44302.355,-4.517,-270.351,27308.443,5715.056,0,46.725,64.219,20.404,0,2.074,1.142,97.498,0,306.859,0,0,0.324,0,19842.607,9.888,87.107,972.856,0,0,4648.632,0,4.903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States,1975,USA,211274544,5.6058E+12,0,0,0,0,0,0,0,0,0,-0.001,-0.026,16687.014,3525.541,0,0,7.38,306.451,21103.691,4458.673,0,18.249,0,0,0,-2.636,-523.127,91442.539,3.446,-3.737,-692.41,0,0,84425.266,17836.91,0,92.326,-8.212,-470.715,5261.532,0,0,24903.768,-7.401,-414.057,24519.824,5180.415,0,27.234,0,-0.348,-3.163,905.474,1449.369,306.215,4285.769,0,4.687,13.378,169.284,1482.57,859.471,181.584,7017.267,0,7.674,0,0,51.352,174.819,515.248,859.471,181.584,2438.761,0,2.667,-2.391,-221.669,9049.838,0,0,42834.492,-4.403,-251.625,25859.387,5463.43,0,46.843,61.848,19.754,0,-3.185,-2.371,93.501,0,292.737,0,0,0.32,0,19319.48,-0.525,-5.534,967.322,0,0,4578.506,0,5.007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States,1976,USA,213270032,5.89959E+12,0,0,0,0,0,0,0,0,0,7.275,256.501,17733.584,3782.042,0,0,4.72,210.455,21893.033,4669.128,0,18.561,0,0,0,5.471,1057.027,95543.227,3.454,5.837,1041.117,0,0,88517.016,18878.027,0,92.646,1.993,104.857,5366.39,0,0,25162.418,-0.815,-42.208,24092.49,5138.206,0,26.336,0,-5.353,-48.472,857.002,1358.946,289.822,4018.388,0,4.206,1.181,15.912,1498.482,943.225,201.162,7026.219,0,7.354,0,0,10.781,55.551,570.799,943.225,201.162,2676.415,0,2.801,7.511,679.757,9729.595,0,0,45621.012,-2.51,-137.125,24974.469,5326.306,0,47.749,70.681,22.565,0,14.227,8.833,105.804,0,331.416,0,0,0.347,0,20376.508,-4.167,-39.639,927.683,0,0,4349.804,0,4.553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States,1977,USA,215437408,6.16691E+12,0,0,0,0,0,0,0,0,0,2.488,94.115,17992.035,3876.157,0,0,1.886,88.061,22081.537,4757.189,0,18.55,0,0,0,2.548,519.139,96991.727,3.388,2.79,526.613,0,0,90070.898,19404.641,0,92.865,-2.039,-109.438,5256.951,0,0,24401.293,0.436,22.421,23954.182,5160.627,0,25.158,0,-22.07,-189.144,667.857,1048.366,225.857,3100.007,0,3.196,-0.013,-7.477,1491.005,1225.821,264.088,6920.825,0,7.135,0,0,31.281,178.554,749.353,1225.821,264.088,3478.285,0,3.586,5.57,541.938,10271.533,0,0,47677.574,1.053,56.102,24983.627,5382.408,0,49.156,73.795,23.536,0,4.305,3.114,109.248,0,342.534,0,0,0.353,0,20895.646,-20.165,-186.031,741.652,0,0,3442.541,0,3.549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States,1978,USA,217881440,6.51862E+12,0,0,0,0,0,0,0,0,0,-1.124,-43.58,17590.195,3832.577,0,0,-5.176,-246.218,20703.789,4510.971,0,17.943,0,0,0,2.219,463.645,98031.711,3.277,1.055,204.734,0,0,90000.211,19609.375,0,91.807,0.351,18.433,5275.384,0,0,24212.178,-0.409,-21.128,23588.51,5139.499,0,24.698,0,26.774,178.813,846.67,1314.148,286.329,3885.922,0,3.964,17.231,258.91,1749.915,1335.362,290.951,8031.5,0,8.193,0,0,10.172,76.224,825.577,1335.362,290.951,3789.109,0,3.865,2.238,229.881,10501.414,0,0,48197.836,4.624,248.904,25845.764,5631.312,0,49.166,77.668,24.679,0,4.855,3.873,113.267,0,356.469,0,0,0.364,0,21359.291,24.706,182.686,924.338,0,0,4242.391,0,4.328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States,1979,USA,220463104,6.74017E+12,0,0,0,0,0,0,0,0,0,9.255,354.707,18993.129,4187.284,0,0,18.283,824.749,24202.324,5335.72,0,19.4,0,0,0,1.054,225.109,97904.82,3.202,1.462,286.641,0,0,90246.461,19896.016,0,92.178,3.327,175.513,5450.897,0,0,24724.76,3.034,155.918,24019.516,5295.417,0,25.254,0,-0.137,-1.163,845.508,1296.976,285.935,3835.144,0,3.917,-3.602,-61.53,1688.385,1218.271,268.584,7658.355,0,7.822,0,0,-7.687,-63.466,762.111,1218.271,268.584,3456.862,0,3.531,-2.32,-243.581,10257.833,0,0,46528.57,-1.49,-83.903,25162.529,5547.409,0,47.524,80.767,25.756,0,4.365,3.099,116.827,0,366.35,0,0,0.374,0,21584.4,0.22,1.936,926.274,0,0,4201.493,0,4.291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
