COUNTRY,CODE_TIME,TIME,YEAR,MONTH,MONTH_NAME,PRODUCT,VALUE,DISPLAY_ORDER,yearToDate,previousYearToDate,share
Canada,JAN2010,January 2010,2010,1,January,Low carbon,47434.221,26,455114.134,,0.7862248720285503
Canada,FEB2010,February 2010,2010,2,February,Low carbon,42071.541,26,455114.134,,0.7895993252072706
Canada,MAR2010,March 2010,2010,3,March,Low carbon,41566.309,26,455114.134,,0.7890872695822408
Canada,APR2010,April 2010,2010,4,April,Low carbon,36133.992,26,455114.134,,0.7906487158837104
Canada,MAY2010,May 2010,2010,5,May,Low carbon,33799.587,26,455114.134,,0.765560825456794
Canada,JUN2010,June 2010,2010,6,June,Low carbon,33630.026,26,455114.134,,0.7648782637936408
Canada,JUL2010,July 2010,2010,7,July,Low carbon,35217.401,26,455114.134,,0.752125048885329
Canada,AUG2010,August 2010,2010,8,August,Low carbon,33739.427,26,455114.134,,0.7474363152509528
Canada,SEP2010,September 2010,2010,9,September,Low carbon,31695.984,26,455114.134,,0.7649576618310069
Canada,OCT2010,October 2010,2010,10,October,Low carbon,34769.034,26,455114.134,,0.7789342458624942
Canada,NOV2010,November 2010,2010,11,November,Low carbon,38493.214,26,455114.134,,0.7815811506082443
Canada,DEC2010,December 2010,2010,12,December,Low carbon,46563.398,26,455114.134,,0.8021664562741274
Canada,JAN2011,January 2011,2011,1,January,Low carbon,48331.136,26,483089.663,47434.221,0.7773940475662935
Canada,FEB2011,February 2011,2011,2,February,Low carbon,42951.698,26,483089.663,89505.762,0.7884221760972181
Canada,MAR2011,March 2011,2011,3,March,Low carbon,44287.817,26,483089.663,131072.071,0.7876360722165385
Canada,APR2011,April 2011,2011,4,April,Low carbon,38916.959,26,483089.663,167206.063,0.7970322972810514
Canada,MAY2011,May 2011,2011,5,May,Low carbon,38216.008,26,483089.663,201005.65,0.8043172481142242
Canada,JUN2011,June 2011,2011,6,June,Low carbon,35881.823,26,483089.663,234635.676,0.795487108121402
Canada,JUL2011,July 2011,2011,7,July,Low carbon,38843.016,26,483089.663,269853.077,0.772589507012396
Canada,AUG2011,August 2011,2011,8,August,Low carbon,38513.396,26,483089.663,303592.504,0.7787046711670116
Canada,SEP2011,September 2011,2011,9,September,Low carbon,35321.2,26,483089.663,335288.488,0.7762264763789692
Canada,OCT2011,October 2011,2011,10,October,Low carbon,36881.282,26,483089.663,370057.522,0.7778419184475017
Canada,NOV2011,November 2011,2011,11,November,Low carbon,38942.098,26,483089.663,408550.736,0.7780337851859759
Canada,DEC2011,December 2011,2011,12,December,Low carbon,46003.23,26,483089.663,455114.134,0.801930865129737
Canada,JAN2012,January 2012,2012,1,January,Low carbon,48056.47,26,490337.489,48331.136,0.8007772208769791
Canada,FEB2012,February 2012,2012,2,February,Low carbon,42370.485,26,490337.489,91282.834,0.7887977077060057
Canada,MAR2012,March 2012,2012,3,March,Low carbon,42308.481,26,490337.489,135570.651,0.7920540330916742
Canada,APR2012,April 2012,2012,4,April,Low carbon,38587.679,26,490337.489,174487.61,0.8040239160557711
Canada,MAY2012,May 2012,2012,5,May,Low carbon,38397.462,26,490337.489,212703.618,0.8097730973360774
Canada,JUN2012,June 2012,2012,6,June,Low carbon,37222.188,26,490337.489,248585.441,0.8080195108091982
Canada,JUL2012,July 2012,2012,7,July,Low carbon,40302.239,26,490337.489,287428.457,0.8002150056280979
Canada,AUG2012,August 2012,2012,8,August,Low carbon,39309.867,26,490337.489,325941.853,0.7901706181328066
Canada,SEP2012,September 2012,2012,9,September,Low carbon,35471.066,26,490337.489,361263.053,0.7838974057422086
Canada,OCT2012,October 2012,2012,10,October,Low carbon,39653.298,26,490337.489,398144.335,0.7957750168899986
Canada,NOV2012,November 2012,2012,11,November,Low carbon,42773.545,26,490337.489,437086.433,0.8028128327845117
Canada,DEC2012,December 2012,2012,12,December,Low carbon,45884.709,26,490337.489,483089.663,0.7959914494172459
Canada,JAN2013,January 2013,2013,1,January,Low carbon,50901.962,26,516504.895,48056.47,0.8109390473114352
Canada,FEB2013,February 2013,2013,2,February,Low carbon,45101.923,26,516504.895,90426.955,0.8082854036941047
Canada,MAR2013,March 2013,2013,3,March,Low carbon,45788.758,26,516504.895,132735.436,0.8078794216696782
Canada,APR2013,April 2013,2013,4,April,Low carbon,40848.851,26,516504.895,171323.115,0.8087627083261067
Canada,MAY2013,May 2013,2013,5,May,Low carbon,39396.356,26,516504.895,209720.577,0.8135598190492125
Canada,JUN2013,June 2013,2013,6,June,Low carbon,38918.388,26,516504.895,246942.765,0.814661193139155
Canada,JUL2013,July 2013,2013,7,July,Low carbon,40763.51,26,516504.895,287245.004,0.7979820466367425
Canada,AUG2013,August 2013,2013,8,August,Low carbon,40543.973,26,516504.895,326554.871,0.8039193513534006
Canada,SEP2013,September 2013,2013,9,September,Low carbon,37787.01,26,516504.895,362025.937,0.8043694661031279
Canada,OCT2013,October 2013,2013,10,October,Low carbon,40090.992,26,516504.895,401679.235,0.8008015567564596
Canada,NOV2013,November 2013,2013,11,November,Low carbon,45323.324,26,516504.895,444452.78,0.8098028269372625
Canada,DEC2013,December 2013,2013,12,December,Low carbon,51039.848,26,516504.895,490337.489,0.8094186030671505
Canada,JAN2014,January 2014,2014,1,January,Low carbon,52563.827,26,518378.782,50901.962,0.8140549896853608
Canada,FEB2014,February 2014,2014,2,February,Low carbon,46319.772,26,518378.782,96003.885,0.8114205979256786
Canada,MAR2014,March 2014,2014,3,March,Low carbon,48323.005,26,518378.782,141792.643,0.808757350142122
Canada,APR2014,April 2014,2014,4,April,Low carbon,41442.042,26,518378.782,182641.494,0.8090856702779512
Canada,MAY2014,May 2014,2014,5,May,Low carbon,38967.656,26,518378.782,222037.85,0.8074342458372624
Canada,JUN2014,June 2014,2014,6,June,Low carbon,38038.811,26,518378.782,260956.238,0.8082905966070155
Canada,JUL2014,July 2014,2014,7,July,Low carbon,40090.625,26,518378.782,301719.748,0.8051128184654536
Canada,AUG2014,August 2014,2014,8,August,Low carbon,40505.476,26,518378.782,342263.721,0.8036556667296476
Canada,SEP2014,September 2014,2014,9,September,Low carbon,38490.835,26,518378.782,380050.731,0.805454939812435
Canada,OCT2014,October 2014,2014,10,October,Low carbon,38841.064,26,518378.782,420141.723,0.8004411290749535
Canada,NOV2014,November 2014,2014,11,November,Low carbon,44711.745,26,518378.782,465465.047,0.8069440210254225
Canada,DEC2014,December 2014,2014,12,December,Low carbon,50083.924,26,518378.782,516504.895,0.815554971149235
Canada,JAN2015,January 2015,2015,1,January,Low carbon,53607.459,26,512790.468,52563.827,0.8161357642939345
Canada,FEB2015,February 2015,2015,2,February,Low carbon,47896.819,26,512790.468,98883.599,0.8079102840888926
Canada,MAR2015,March 2015,2015,3,March,Low carbon,48338.497,26,512790.468,147206.604,0.8122202760142719
Canada,APR2015,April 2015,2015,4,April,Low carbon,41989.613,26,512790.468,188648.646,0.8133496448986158
Canada,MAY2015,May 2015,2015,5,May,Low carbon,38967.859,26,512790.468,227616.302,0.8140551577008823
Canada,JUN2015,June 2015,2015,6,June,Low carbon,38063.892,26,512790.468,265655.113,0.8022676856855345
Canada,JUL2015,July 2015,2015,7,July,Low carbon,39794.408,26,512790.468,305745.738,0.796261463299224
Canada,AUG2015,August 2015,2015,8,August,Low carbon,39256.673,26,512790.468,346251.214,0.7858968487630145
Canada,SEP2015,September 2015,2015,9,September,Low carbon,37259.042,26,512790.468,384742.049,0.7898004087438792
Canada,OCT2015,October 2015,2015,10,October,Low carbon,38574.766,26,512790.468,423583.113,0.7892643761772029
Canada,NOV2015,November 2015,2015,11,November,Low carbon,42511.192,26,512790.468,468294.858,0.8012692533184783
Canada,DEC2015,December 2015,2015,12,December,Low carbon,46530.248,26,512790.468,518378.782,0.8017130136333216
Canada,JAN2016,January 2016,2016,1,January,Low carbon,52023.04,26,521212.079,53607.459,0.8139130126775423
Canada,FEB2016,February 2016,2016,2,February,Low carbon,47537.365,26,521212.079,101504.278,0.823842073787483
Canada,MAR2016,March 2016,2016,3,March,Low carbon,46322.14,26,521212.079,149842.775,0.8141733294588066
Canada,APR2016,April 2016,2016,4,April,Low carbon,40585.199,26,521212.079,191832.388,0.8138001991048623
Canada,MAY2016,May 2016,2016,5,May,Low carbon,38866.501,26,521212.079,230800.247,0.8121054132920965
Canada,JUN2016,June 2016,2016,6,June,Low carbon,39385.121,26,521212.079,268864.139,0.8110410508242661
Canada,JUL2016,July 2016,2016,7,July,Low carbon,41220.503,26,521212.079,308658.547,0.7959787190097326
Canada,AUG2016,August 2016,2016,8,August,Low carbon,41051.129,26,521212.079,347915.22,0.7855717685709895
Canada,SEP2016,September 2016,2016,9,September,Low carbon,38461.231,26,521212.079,385174.262,0.7991544734231983
Canada,OCT2016,October 2016,2016,10,October,Low carbon,40302.466,26,521212.079,423749.028,0.8038601195049451
Canada,NOV2016,November 2016,2016,11,November,Low carbon,43986.581,26,521212.079,466260.22,0.8119687665846759
Canada,DEC2016,December 2016,2016,12,December,Low carbon,51470.803,26,521212.079,512790.468,0.8150162283398209
Canada,JAN2017,January 2017,2017,1,January,Low carbon,52983.271,26,531911.863,52023.04,0.8313451268892007
Canada,FEB2017,February 2017,2017,2,February,Low carbon,46353.158,26,531911.863,99560.405,0.8281100537770367
Canada,MAR2017,March 2017,2017,3,March,Low carbon,49831.087,26,531911.863,145882.545,0.8319849338378539
Canada,APR2017,April 2017,2017,4,April,Low carbon,41871.753,26,531911.863,186467.744,0.8324590692121471
Canada,MAY2017,May 2017,2017,5,May,Low carbon,40325.563,26,531911.863,225334.245,0.8324385578092381
Canada,JUN2017,June 2017,2017,6,June,Low carbon,39999.779,26,531911.863,264719.366,0.8400035019939484
Canada,JUL2017,July 2017,2017,7,July,Low carbon,42296.527,26,531911.863,305939.869,0.8206347527619295
Canada,AUG2017,August 2017,2017,8,August,Low carbon,41955.439,26,531911.863,346990.998,0.812271539524704
Canada,SEP2017,September 2017,2017,9,September,Low carbon,39233.207,26,531911.863,385452.229,0.813354875351893
Canada,OCT2017,October 2017,2017,10,October,Low carbon,39283.99,26,531911.863,425754.695,0.8198407608551607
Canada,NOV2017,November 2017,2017,11,November,Low carbon,45116.803,26,531911.863,469741.276,0.8190681354126672
Canada,DEC2017,December 2017,2017,12,December,Low carbon,52661.286,26,531911.863,521212.079,0.8260486593209424
Canada,JAN2018,January 2018,2018,1,January,Low carbon,52999.829273,26,523723.542931,52983.271,0.8286874806916553
Canada,FEB2018,February 2018,2018,2,February,Low carbon,45691.560554,26,523723.542931,99336.429,0.8299273072779809
Canada,MAR2018,March 2018,2018,3,March,Low carbon,47119.525401,26,523723.542931,149167.516,0.8312512975252062
Canada,APR2018,April 2018,2018,4,April,Low carbon,41275.833231,26,523723.542931,191039.269,0.8319969176193305
Canada,MAY2018,May 2018,2018,5,May,Low carbon,39988.961273,26,523723.542931,231364.832,0.8375825949966123
Canada,JUN2018,June 2018,2018,6,June,Low carbon,39061.313502,26,523723.542931,271364.611,0.8369020596798864
Canada,JUL2018,July 2018,2018,7,July,Low carbon,42163.995208,26,523723.542931,313661.138,0.8085423589470706
Canada,AUG2018,August 2018,2018,8,August,Low carbon,41201.924908,26,523723.542931,355616.577,0.8000813370049517
Canada,SEP2018,September 2018,2018,9,September,Low carbon,37381.817089,26,523723.542931,394849.784,0.8014829648057614
Canada,OCT2018,October 2018,2018,10,October,Low carbon,41233.180355,26,523723.542931,434133.774,0.8266165811556493
Canada,NOV2018,November 2018,2018,11,November,Low carbon,45510.961946,26,523723.542931,479250.577,0.8272973887064082
Canada,DEC2018,December 2018,2018,12,December,Low carbon,50094.640191,26,523723.542931,531911.863,0.8281404526263135
Canada,JAN2019,January 2019,2019,1,January,Low carbon,53215.683903,26,518205.13134,52999.829273,0.8364509698680033
Canada,FEB2019,February 2019,2019,2,February,Low carbon,47320.017863,26,518205.13134,98691.389827,0.8212757079351338
Canada,MAR2019,March 2019,2019,3,March,Low carbon,46196.295419,26,518205.13134,145810.915228,0.814053246902636
Canada,APR2019,April 2019,2019,4,April,Low carbon,40157.909997,26,518205.13134,187086.748459,0.8317292582951415
Canada,MAY2019,May 2019,2019,5,May,Low carbon,38986.965832,26,518205.13134,227075.709732,0.8335298223954283
Canada,JUN2019,June 2019,2019,6,June,Low carbon,38120.88414,26,518205.13134,266137.023234,0.841079372182297
