TIME,share,Forecast(share),Lower Confidence Bound(share),Upper Confidence Bound(share)
Jan-10,0.654405357,,,
Feb-10,0.651890815,,,
Mar-10,0.643980579,,,
Apr-10,0.650069903,,,
May-10,0.632791591,,,
Jun-10,0.612383081,,,
Jul-10,0.598294323,,,
Aug-10,0.576865815,,,
Sep-10,0.576068895,,,
Oct-10,0.604616934,,,
Nov-10,0.634794192,,,
Dec-10,0.649906166,,,
Jan-11,0.635860732,,,
Feb-11,0.65397236,,,
Mar-11,0.648979734,,,
Apr-11,0.648286339,,,
May-11,0.64745999,,,
Jun-11,0.63904212,,,
Jul-11,0.615995327,,,
Aug-11,0.610975982,,,
Sep-11,0.608558925,,,
Oct-11,0.624302189,,,
Nov-11,0.650438324,,,
Dec-11,0.668684363,,,
Jan-12,0.672682513,,,
Feb-12,0.66207513,,,
Mar-12,0.652481089,,,
Apr-12,0.660814497,,,
May-12,0.651141833,,,
Jun-12,0.638787754,,,
Jul-12,0.632585153,,,
Aug-12,0.634494379,,,
Sep-12,0.632215452,,,
Oct-12,0.635442336,,,
Nov-12,0.642546946,,,
Dec-12,0.648596803,,,
Jan-13,0.671898886,,,
Feb-13,0.674011284,,,
Mar-13,0.674486989,,,
Apr-13,0.659252411,,,
May-13,0.657736643,,,
Jun-13,0.643165816,,,
Jul-13,0.619620755,,,
Aug-13,0.623359409,,,
Sep-13,0.62428465,,,
Oct-13,0.633249533,,,
Nov-13,0.653816188,,,
Dec-13,0.664170032,,,
Jan-14,0.676239846,,,
Feb-14,0.675906472,,,
Mar-14,0.66406893,,,
Apr-14,0.660593337,,,
May-14,0.647931111,,,
Jun-14,0.634906781,,,
Jul-14,0.624462677,,,
Aug-14,0.619415093,,,
Sep-14,0.612387436,,,
Oct-14,0.619094598,,,
Nov-14,0.644216547,,,
Dec-14,0.662812695,,,
Jan-15,0.679499864,,,
Feb-15,0.67090588,,,
Mar-15,0.660599139,,,
Apr-15,0.666798417,,,
May-15,0.650947039,,,
Jun-15,0.635653978,,,
Jul-15,0.622161902,,,
Aug-15,0.616041498,,,
Sep-15,0.645405792,,,
Oct-15,0.662701654,,,
Nov-15,0.64558018,,,
Dec-15,0.657969703,,,
Jan-16,0.674045119,,,
Feb-16,0.68006713,,,
Mar-16,0.669931242,,,
Apr-16,0.675218715,,,
May-16,0.684326622,,,
Jun-16,0.655567708,,,
Jul-16,0.627798907,,,
Aug-16,0.621970967,,,
Sep-16,0.629951937,,,
Oct-16,0.641961787,,,
Nov-16,0.664828793,,,
Dec-16,0.682702649,,,
Jan-17,0.692092573,,,
Feb-17,0.698065258,,,
Mar-17,0.701757772,,,
Apr-17,0.693757413,,,
May-17,0.679145997,,,
Jun-17,0.668941178,,,
Jul-17,0.649555997,,,
Aug-17,0.650618029,,,
Sep-17,0.657175476,,,
Oct-17,0.654224391,,,
Nov-17,0.674714267,,,
Dec-17,0.689927588,,,
Jan-18,0.695418496,,,
Feb-18,0.697861955,,,
Mar-18,0.688689867,,,
Apr-18,0.692214737,,,
May-18,0.687737339,,,
Jun-18,0.672510647,,,
Jul-18,0.64503217,,,
Aug-18,0.635121677,,,
Sep-18,0.632171524,,,
Oct-18,0.659218195,,,
Nov-18,0.681689698,,,
Dec-18,0.69055974,,,
